,sentence_no,type,sentiment,crux,rank_abs
0,0,valley,-0.16890512921154607,"[CRUX >>>] SILENT SPRING [<<< CRUX]
The Madness Years
China, 1967
The Red Union had been attacking the headquarters of the April Twenty-eighth Brigade for two days.
Their red flags fluttered restlessly around the brigade building like flames yearning for firewood.",14.0
0,548,peak,-0.10416894270822274,"Silent Spring was published in America in 1962 and has been quite influential in the capitalist world.
He then took another book out of the briefcase.
The cover was white with black characters.
This is the Chinese translation.
The appropriate authorities distributed it to select cadres as internal reference so that it could be criticized.
[CRUX >>>] As of now, the appropriate authorities have already given their clear judgment: The book is a toxic piece of reactionary propaganda. [<<< CRUX]
It takes the stance of pure historical idealism and espouses a doomsday theory.
Under the guise of discussing environmental problems, it seeks to justify the ultimate corruption of the capitalist world.
The content is extremely reactionary.
But this book  it doesnt belong to me.",10.0
1,716,valley,-0.11778500678341505,"Look at me.
Do you think I would hurt you?
But Ye did not look at Representative Cheng.
What she saw, instead, was her fathers blood.
Representative Cheng, I have no knowledge of the events recorded in this document.
[CRUX >>>] I cannot sign it. [<<< CRUX]
Cheng Lihua became quiet.
She stared at Ye for a long while, and the cold air in the cell seemed to solidify.
Then she slowly put the document back into her briefcase and stood up.
Her kind expression did not disappear, but was set on her face like a plaster mask.",11.0
1,826,peak,-0.11292536593228653,"But the bigger issue is the requirement in the security regulations that they be sequestered at the base for extended periods.
Whats to be done if they have families?
Sequester them at the base too?
No one would agree to that.
I did find two possible candidates, but both would rather stay at the May Seventh Cadre Schools rather than come here.9
[CRUX >>>] Of course we could forcefully move them. [<<< CRUX]
But given the nature of this work, we cant have someone who doesnt want to be here.
Then theres no choice but to use her.
But its so unconventional.
This entire project is unconventional.",11.0
2,950,valley,-0.1165664039203215,"Fifteen seconds later, as a klaxon started to blare, a red light on top of the antenna began to blink rapidly.
Begin transmission!
All units continue to monitor!
Ye felt a light itch on her face.
She knew that an enormous electric field had appeared.
[CRUX >>>] She lifted her face and gazed in the direction the antenna was pointing and saw a cloud in the night sky glow with a dim blue light, so dim that at first she thought it an illusion. [<<< CRUX]
But as the cloud drifted away, the glow disappeared.
Another cloud that drifted into position began to give off the same glow.
From the main control room, she heard more shouts.
Malfunction with Energy Unit.",9.0
2,1020,peak,-0.11536013537392667,"Your privacy?
Youre a famous academic.
You have a responsibility toward the public welfare.
Shi threw away the butt and took out another cigarette from a flattened pack.
I have the right to not answer.
[CRUX >>>] Please leave. [<<< CRUX]
Wang turned around to go back inside.
Wait!
Shi shouted.
He waved at the young cop next to him.",12.0
3,1076,valley,-0.11579546033759959,"A cloud of smoke hovered over the room.
Wang Miao wasnt sure if this was the Battle Command Center, but he was sure of one thing: Whatever they were dealing with was too important for them to care about keeping up appearances.
The meeting table, formed by pushing several smaller tables together, was piled with documents and odds and ends.
The attendees, their clothes wrinkled, looked exhausted.
Those wearing ties had all pulled them loose.
[CRUX >>>] It seemed as if they had been up all night. [<<< CRUX]
A major general named Chang Weisi presided over the meeting, and half the attendees were military officers.
After a few quick introductions, Wang found out that many of the others were police.
The rest were academics like him, with a few prominent scientists specializing in basic research in the mix.
He also found four foreigners in attendance.",8.0
3,1123,peak,-0.11548949812867343,"Dont be nice to them.
Theyre prejudiced against us.
All they want is to get information out of us, but never tell us anything.
Look at me.
Ive been here for a month, and I still dont know anything, just like you.
[CRUX >>>] Comrades, General Chang said, lets get started. [<<< CRUX]
Of all the combat zones around the globe, this one has become the focal point.
We need to update the current situation for all the attending comrades.
The unusual term combat zone gave Wang pause.
He also noticed that the general did not seem to want to explain in detail the background of what they were dealing with to new people like him.",14.0
4,1418,valley,-0.1555396297223218,"You will know more soon.
Everyone will know.
Professor Wang, have you ever had anything happen to you that changed your life completely?
Some event where afterward the world became a totally different place for you?
Then your life has been fortunate.
[CRUX >>>] The world is full of unpredictable factors, yet you have never faced a crisis. [<<< CRUX]
Wang turned over the words in his mind, still not understanding.
I think thats true of most lives.
Then most people have lived fortunately.
But  many generations have lived in this plain manner.",13.0
4,1831,peak,-0.11536611749073039,"He never showed any interest in the Frontiers of Science discussions, but seemed used to the sight of so many scholars coming to their house.
But he wasnt idle.
He appeared to be conducting some kind of research at home, always deep in thought.
Whenever he met any visitor, he would greet them absentmindedly and then return to his room upstairs.
Most of his day was spent there.
[CRUX >>>] One time, Wang glanced into his room through the half-open door and saw an astonishing sight: a powerful HP workstation. [<<< CRUX]
He was sure of what he saw because the workstation was the same model as the one he used at the Research Center: slate-gray chassis, model RX8620, four years old.
It seemed very strange to own a machine costing more than a million yuan just for personal use.
What was Wei Cheng doing with it all day?
Yufei is a bit busy right now.",13.0
5,1894,valley,-0.1166941397361449,"Try it.
I understand now, Wang said.
The Frontiers of Science isnt just a discussion group about fundamental theory, like you claimed.
Its connection to reality is far more complicated than I had imagined.
Its the opposite.
[CRUX >>>] Your impression is due to the fact that the Frontiers of Science concerns matters far more fundamental than you imagine. [<<< CRUX]
Desperate, Wang got up to leave without saying good-bye.
Mutely, Shen accompanied him to the door and watched as he got into the taxi.
Just then, another car drove up and braked to a hard stop in front of the door.
A man got out.",10.0
5,2227,peak,-0.057043721808425214,"He struggled into the haptic feedback suit, put on the panoramic viewing helmet, and turned on the computer.
After entering the game, Wang found himself in the middle of a desolate plain at dawn.
The plain was dun-colored, blurry, its details hard to make out.
In the distance, there was a sliver of white light on the horizon.
Twinkling stars covered the rest of the sky.
[CRUX >>>] There was a loud explosion, and two red-glowing mountains crashed against the earth in the distance. [<<< CRUX]
The whole plain was bathed in red light.
When the dust finally cleared from the sky, Wang saw two giant words erected between the sky and the earth: THREE BODY.
Next came a registration screen.
Wang created the ID Hairen, and logged in.15",8.0
6,2291,valley,-0.05773763033865537,"Indeed, the light over the horizon dimmed and soon disappeared.
Night covered everything.
The stars overhead shone even more brightly.
So that was dusk instead of dawn?
Wang asked.
[CRUX >>>] It is morning. [<<< CRUX]
But the sun doesnt always rise in the morning.
Thats what a Chaotic Era is like.
Wang found the cold hard to take.
It looks like the sun wont rise for a long time.",6.0
6,2573,peak,-0.03313662858993308,"One by one, they struggled up out of the waist-deep water and stood up.
Looking around at the sunny world with wide-open eyes, they appeared to have just awoken from a dream.
Rehydrate!
one man cried out.
Rehydrate!
[CRUX >>>] Rehydrate! [<<< CRUX]
Other voices joyously echoed his.
Everyone climbed out of the lake and ran naked toward the dehydratory.
They carried out more skins and tossed them into the water, and even more of the revived climbed out of the lake.
The same scene repeated itself around every lake and pool.",6.0
7,2959,valley,-0.05377415326299386,"Can you print out the waveform?
Wang asked.
Sha wiped away the cold sweat on his forehead and nodded.
He moved his mouse and clicked Print.
Wang grabbed the first page as soon as it came out of the laser printer, and, with a pencil, began to match the distance between the peaks with the Morse code chart he took out of his pocket.
[CRUX >>>] short-long-long-long-long, short-long-long-long-long, long-long-long-long-long, long-long-long-short-short, long-long-long-short-short-short, short-short-long-long-long, short-long-long-long-long, long-long-long-short-short-short, short-short-short-long-long, long-long-short-short-short. [<<< CRUX]
Thats 1108:21:37, Wang thought.
short-long-long-long-long, short-long-long-long-long, long-long-long-long-long, long-long-long-short-short, long-long-long-short-short-short, short-short-long-long-long, short-long-long-long-long, long-long-long-short-short-short, short-short-short-long-long, long-short-short-short-shortthats 1108:21:36.
The countdown continued at the scale of the universe.
Ninety-two hours had already elapsed, and only 1,108 hours remained.",5.0
7,3222,peak,-9.323153206614802e-05,"Ill tell you what little I know.
Da Shi pointed to the shore of the moat around the Forbidden City.
The two found a spot and sat down.
It was now night, and traffic flowed ceaselessly behind them like a river.
They watched their shadows lengthening and shortening over the moat.
[CRUX >>>] In my line of work, its all about putting together many apparently unconnected things. [<<< CRUX]
When you piece them together the right way, you get the truth.
For a while now, strange things have been happening.
For example, theres been an unprecedented wave of crimes against academia and science research institutions.
Of course you know about the explosion at the Liangxiang accelerator construction site.",5.0
8,3343,valley,-0.0033012948916205146,"Wang Miao returned home, stopping on the way to buy a V-suit.
His wife told him that people from work had been trying to get ahold of him all day.
Wang turned on his phone, checked his messages, and returned a few calls.
He promised hed be at work tomorrow.
At dinner, he followed Da Shis advice and drank some more.
[CRUX >>>] But he didnt feel sleepy. [<<< CRUX]
After his wife went to bed, he sat in front of the computer, put on his new V-suit, and logged into Three Body.
Desolate plain at dawn.
Wang stood in front of King Zhous pyramid.
The snow that had once covered it was gone, and the blocks of stone were pockmarked by erosion.",3.0
8,3805,peak,0.12133922020490537,"The reception system was thus capable of picking up very faint signals.
Ye couldnt help but imagine how wonderful it would be to use the equipment for radio astronomy research.
The Monitoring Departments computer system was also much bigger and more complex than the one at the Transmission Department.
The first time she entered the main computer room, Ye saw a row of cathode ray tube displays.
She was stunned to see programming code scrolling across each of them, and the operators were free to edit and test the code using the keyboard.
[CRUX >>>] When she learned programming in college, the source code was always written on the grids of special programming paper, then transferred to paper tape using a typewriter. [<<< CRUX]
She had heard of input using a keyboard and screen, but this was the first time she had seen it.
The software available astonished her even more.
She learned about something called FORTRAN, which allowed you to program using a language close to natural language.
You could even type mathematical equations directly into the code!",1.0
9,4604,valley,-0.1220502951991468,"I had less interest in women than the monks around me.
This woman who didnt adhere to conventional ideas about femininity was different, though.
She attracted me.
Since I had nothing to do anyway, I agreed right away.
That night, I couldnt sleep.
[CRUX >>>] I draped a shirt over my shoulders and walked out into the yard. [<<< CRUX]
In the distance, I saw Shen in the dim temple hall.
She knelt before the Buddha with lit joss sticks, and all her movements seemed full of piety.
I approached noiselessly, and as I came by the door to the temple hall, I heard her whisper a prayer: Buddha, please help my Lord break away from the sea of misery.
I thought I must have heard wrong, but she chanted the prayer again.",12.0
9,5481,peak,0.11434634514747749,"In every cycle of civilization, the appearance of Trisolarans is different.
However, the game does portray something else that really existed on Trisolaris: the Trisolaran-formation computer.
I thought that was the most unrealistic aspect, the software company vice president said.
I conducted a test with more than a hundred employees at my company.
Even if the idea worked, a computer made of people would probably operate at a speed slower than manual computation.
[CRUX >>>] Pan gave a mysterious smile. [<<< CRUX]
Youre right.
But suppose that of the thirty million soldiers forming the computer, each one is capable of raising and lowering the black and white flags a hundred thousand times per second, and suppose also that the light cavalry soldiers on the main bus can run at several times the speed of sound, or even faster.
Then the result would be very different.
You asked about the appearance of the Trisolarans just now.",2.0
10,6367,valley,-0.044917062537983575,"In the deep silence of midnight, the universe revealed itself to its listeners as a vast desolation.
What Ye disliked most was seeing the waves that slowly crawled across the display, a visual record of the meaningless noise Red Coast picked up from space.
Ye felt this interminable wave was an abstract view of the universe: one end connected to the endless past, the other to the endless future, and in the middle only the ups and downs of random chancewithout life, without pattern, the peaks and valleys at different heights like uneven grains of sand, the whole curve like a one-dimensional desert made of all the grains of sand lined up in a row, lonely, desolate, so long that it was intolerable.
You could follow it and go forward or backward as long as you liked, but youd never find the end.
On this day, however, Ye saw something odd when she glanced at the waveform display.
[CRUX >>>] Even experts had a hard time telling with the naked eye whether a waveform carried information. [<<< CRUX]
But Ye was so familiar with the noise of the universe that she could tell that the wave that now moved in front of her eyes had something extra.
The thin curve, rising and falling, seemed to possess a soul.
She was certain that the radio signal before her had been modulated by intelligence.
She rushed to another terminal and checked the computers rating of the signals recognizability: AAAAA.",4.0
10,6472,peak,-0.03665752996431628,"The message that was winging its way to the sun said, Come here!
I will help you conquer this world.
Our civilization is no longer capable of solving its own problems.
We need your force to intervene.
The newly risen sun dazzled Ye Wenjie.
[CRUX >>>] Not too far from the door of the main control room, she collapsed onto the lawn in a faint. [<<< CRUX]
When she woke up, she found herself in the base clinic.
Next to her bed sat Yang, watching her with concern, like that time many years ago on the helicopter.
The doctor told Ye to be careful and get plenty of rest.
You are pregnant, he said.",7.0
11,6951,valley,-0.09267112036254578,"She knew that she would have to wait at least eight years to hear that worlds response to her message, and after leaving the base, she no longer had any way of receiving extraterrestrial replies.
It was such an important thing, and yet she had done it all by herself.
This gave her a sense of unreality.
As time passed, that sense grew ever stronger.
What had happened resembled an illusion, a dream.
[CRUX >>>] Could the sun really amplify radio signals? [<<< CRUX]
Did she really use it as an antenna to send a message about human civilization into the universe?
Did she really receive a message from the stars?
Did that blood-hued morning, when she had betrayed the entire human race, really happen?
And those murders",7.0
