,pysentimentr_nrc,pysentimentr_nrc_rstd,pysentimentr_nrc_rzstd,pysentimentr_nrc_smalowess_rzstd
0,1.0,1.0,0.8755318865514016,-0.000265842170698978
1,-1.0,-1.0,-0.9640333046865615,-0.00030915563702325227
2,0.0,0.0,-0.04425070906757987,-0.00035232586951802194
3,-1.0,-1.0,-0.9640333046865615,-0.0003953524868010914
4,0.0,0.0,-0.04425070906757987,-0.00043823510995745117
5,0.0,0.0,-0.04425070906757987,-0.00048097336373514405
6,1.0,1.0,0.8755318865514016,-0.0005235668768921608
7,0.0,0.0,-0.04425070906757987,-0.0005660152828089384
8,1.0,1.0,0.8755318865514016,-0.0006083182218101425
9,0.0,0.0,-0.04425070906757987,-0.0006504753427834526
10,1.0,1.0,0.8755318865514016,-0.0006924863035580939
11,1.0,1.0,0.8755318865514016,-0.0007343507710310239
12,0.0,0.0,-0.04425070906757987,-0.0007760684210462363
13,0.0,0.0,-0.04425070906757987,-0.0008176389377797989
14,-1.0,-1.0,-0.9640333046865615,-0.0008590620148396958
15,-1.0,-1.0,-0.9640333046865615,-0.0009003373565965254
16,-1.0,-1.0,-0.9640333046865615,-0.0009414646783043388
17,-1.0,-1.0,-0.9640333046865615,-0.0009824437055026328
18,-1.0,-1.0,-0.9640333046865615,-0.0010232741746063812
19,-2.0,-2.0,-1.8838159003055428,-0.0010639558318458334
20,-1.0,-1.0,-0.9640333046865615,-0.0011044884312498486
21,-2.0,-2.0,-1.8838159003055428,-0.0011448717342934
22,0.0,0.0,-0.04425070906757987,-0.001185105510020805
23,-1.0,-1.0,-0.9640333046865615,-0.0012251895351682433
24,-1.0,-1.0,-0.9640333046865615,-0.001265123594285257
25,-2.0,-2.0,-1.8838159003055428,-0.0013049074798566849
26,-1.0,-1.0,-0.9640333046865615,-0.0013445409919693114
27,-1.0,-1.0,-0.9640333046865615,-0.0013840239366186464
28,-1.0,-1.0,-0.9640333046865615,-0.0014233561247765571
29,1.0,1.0,0.8755318865514016,-0.001462537370297921
30,0.0,0.0,-0.04425070906757987,-0.0015015674899764384
31,0.0,0.0,-0.04425070906757987,-0.0015404463026962808
32,-1.0,-1.0,-0.9640333046865615,-0.0015791736277413536
